year,deaths_under50,ln_deaths0,deaths_under51,ln_deaths1,deaths_under52,ln_deaths2
1979,10919,9.298259735107422,26043,10.16750431060791,30213,10.316027641296387
1980,10841,9.291090965270996,24438,10.103894233703613,29481,10.29150104522705
1981,10542,9.26312255859375,22009,9.99920654296875,25554,10.14854907989502
1982,10036,9.213933944702148,17845,9.789478302001953,24698,10.114477157592773
1983,9498,9.158836364746094,16828,9.730799674987793,26440,10.182633399963379
1984,9563,9.165657043457031,17482,9.768926620483398,22504,10.021448135375977
1985,8216,9.013838768005371,15521,9.649949073791504,18574,9.82951831817627
1986,7824,8.964951515197754,12031,9.395241737365723,17306,9.758808135986328
1987,8264,9.01966381072998,12509,9.4342041015625,19234,9.864435195922852
1988,7888,8.973097801208496,10069,9.217216491699219,13916,9.540794372558594
1989,8352,9.030256271362305,13449,9.506660461425781,14620,9.5901460647583
1990,8116,9.001592636108398,12568,9.438909530639648,13836,9.535029411315918
1991,7855,8.968905448913574,10024,9.212737083435059,10784,9.285819053649902
1992,7884,8.972590446472168,9562,9.165552139282227,7268,8.891236305236816
1993,7501,8.922791481018066,8514,9.049467086791992,6772,8.820551872253418
1994,7739,8.954028129577637,9236,9.130864143371582,5356,8.585972785949707
1995,7789,8.960467338562012,8674,9.068085670471191,4852,8.487146377563477
1996,7594,8.935113906860352,7969,8.983314514160156,4199,8.342601776123047
1997,7755,8.956092834472656,7310,8.896998405456543,3598,8.188133239746094
